住居名,url,家賃,住所,最寄り駅,岡山駅までの距離,学校までの距離,間取り,専用設備,共通設備
ルラシオン岡山野田屋町,https://unilife.co.jp/view/1503,4.95万円 ～ 5.75万円,岡山県岡山市北区野田屋町2丁目2-5,"岡電バス「岡ビル前」停徒歩2分
ＪＲ山陽本線「岡山」駅 徒歩6分
岡山電気軌道東山本線「西川緑道公園」駅 徒歩5分",500 m,3.5 km,1R～1K／25.52m²／8.9帖～10.3帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / RHコンロ(2口) / バルコニー / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン / 個別給湯（電気温水器） / オール電化(ガス無し),CATV / インターネット対応 / オートロック / 防犯カメラ / エレベーター / 宅配BOX / バイク置場(任意) / 駐輪場(原付可) / 駐車場(任意)
学生会館 Fleur de Cerisier 【食事付き】,https://unilife.co.jp/view/11524,4.85万円 ～ 5.6万円,岡山県岡山市北区柳町2丁目5-9,"岡電バス「山陽新聞社・ＴＳＣ前」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩14分
岡山電気軌道清輝橋線「新西大寺町筋」駅 徒歩6分",1.1 km,4.3 km,1R／19.8m²～21.6m²／7.2帖～8.2帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ(1口) / 家具家電付 / 冷蔵庫（２ドア） / 玄関センサー感知ライト / 居室照明器具 / 電子レンジ / ベッド / バルコニー / フローリング / シューズケース / 吊棚 / 収納 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン / オール電化(ガス無し),BSアンテナ / CSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ（ユニセーフ24仕様） / エレベーター（フロアセキュリティ付） / 宅配BOX / 自動販売機 / 駐輪場(原付可) / 駐輪場 / 食堂（UniTimeKitchen仕様）
マナハウスⅠ,https://unilife.co.jp/view/12289,2.5万円 ～ 3.1万円,岡山県岡山市北区宿572-1,ＪＲ津山線「備前原」駅 徒歩6分,5.2 km,5.3 km,1K／21.2m²～24.5m²／6帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 洗濯機 / 温水洗浄便座 / ガスコンロ(1口) / 冷蔵庫 / 居室照明器具 / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / 宅配BOX / 駐輪場(原付可)
マナハウスⅡ,https://unilife.co.jp/view/12302,2.5万円 ～ 3.1万円,岡山県岡山市北区宿574-1,ＪＲ津山線「備前原」駅 徒歩6分,5.2 km,5.3 km,1K／21.2m²～24.5m²／6帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 洗濯機 / 温水洗浄便座 / ガスコンロ(1口) / 冷蔵庫 / 居室照明器具 / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / 宅配BOX / 駐輪場(原付可)
パレスエザクラ,https://unilife.co.jp/view/11317,3.7万円 ～ 4.05万円,岡山県岡山市北区伊島町2丁目12-25,"岡電バス「伊島町二丁目」停　徒歩3分
ＪＲ山陽本線「岡山」駅 自転車11分(約2.6km)",2.3 km,1.1 km,1K／23m²／7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / IHコンロ / フローリング / 収納 / インターフォン（TVモニター付) / エアコン,インターネット対応 / 駐輪場(原付可) / 駐輪場
サンライト津島Ⅰ・Ⅱ・Ⅲ号館,https://unilife.co.jp/view/2000933,3.3万円 ～ 4.1万円,岡山県岡山市北区津島京町3丁目2-20,"岡電バス「岡山商大前」停徒歩2分
ＪＲ吉備線「備前三門」駅 自転車10分(約2.4km)",3.0 km,210 m,1K／24m²～30.24m²／8帖～13帖,セパレート（バス・トイレ） / 洗濯機 / 洗濯機置場(室内) / IHコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン / オール電化(ガス無し) / 個別給湯（電気温水器）,BSアンテナ / インターネット対応（無料） / エレベーター / 駐輪場 / 駐車場(任意)
ヴィラ津島,https://unilife.co.jp/view/1001220,3.8万円 ～ 3.9万円,岡山県岡山市北区津島笹が瀬3‐8,"岡電バス「岡山商大前」停徒歩1分
ＪＲ吉備線「備前三門」駅 自転車11分(約2.5km)
ＪＲ津山線「法界院」駅 自転車11分(約2.6km)
ＪＲ山陽本線「岡山」駅 自転車14分(約3.4km)",3.1 km,220 m,1K／24.75m²／8.3帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,BSアンテナ / インターネット対応 / 駐輪場
ヴェルメス津島Ⅰ・Ⅱ,https://unilife.co.jp/view/1001226,3.4万円 ～ 3.5万円,岡山県岡山市北区津島笹が瀬1-4,"岡電バス「岡山商大前」停徒歩2分
ＪＲ吉備線「備前三門」駅 自転車11分(約2.5km)",3.0 km,400 m,1K／21.12m²～23.26m²／7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,BSアンテナ / インターネット対応 / 駐輪場
ルシェール,https://unilife.co.jp/view/920564,4.4万円 ～ 5万円,岡山県岡山市北区津島笹が瀬41,岡電バス「岡山商大前」 停徒歩1分,3.2 km,230 m,1K／26m²～28m²／8.2帖～9.8帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / IHコンロ / フローリング / インターフォン（TVモニター付) / エアコン,BSアンテナ / CSアンテナ / オートロック / 防犯カメラ / 宅配BOX / 駐輪場
エースマンション,https://unilife.co.jp/view/1001278,1.8万円 ～ 2.5万円,岡山県岡山市北区津島笹が瀬1丁目5-2,"岡電バス「岡山商大前」停徒歩3分
ＪＲ吉備線「備前三門」駅 自転車11分(約2.6km)",3.0 km,350 m,1K／20m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / IHコンロ(1口) / バルコニー / 収納 / エアコン / オール電化(ガス無し) / 個別給湯（電気温水器）,インターネット対応 / 駐輪場
マイヨール,https://unilife.co.jp/view/701277,3.9万円 ～ 4.2万円,岡山県岡山市北区津島笹が瀬1-36,"岡電バス「岡山商科大前」停徒歩2分
ＪＲ津山線「法界院」駅 自転車11分(約2.6km)",2.9 km,300 m,1K／25m²／8帖～9帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 居室照明器具 / フローリング / バルコニー / 収納 / カードキー / エアコン,インターネット対応 / 駐輪場
ラグゼ,https://unilife.co.jp/view/701847,3.9万円,岡山県岡山市北区伊島町2丁目13-25,ＪＲ津山線「法界院」駅 自転車9分(約2.1km),2.4 km,950 m,1K／24.51m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / フローリング / バルコニー / 収納 / シューズケース / エアコン,インターネット対応 / 駐輪場
K-corpo　A～C棟,https://unilife.co.jp/view/1001298,2.8万円 ～ 3万円,岡山県岡山市北区伊島町2丁目18-2,"岡電バス「武道館前」停徒歩2分
ＪＲ津山線「法界院」駅 自転車8分(約1.8km)",2.0 km,1.2 km,1R／23.84m²／10.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / IHコンロ / フローリング / バルコニー / 収納 / エアコン,インターネット対応（無料） / 駐輪場
コーポプチⅡ,https://unilife.co.jp/view/10189,3.3万円 ～ 3.7万円,岡山県岡山市北区伊福町4丁目8-40,"岡電バス「別所」停徒歩1分
ＪＲ山陽本線「岡山」駅 徒歩20分
ＪＲ吉備線「備前三門」駅 自転車8分(約1.7km)",1.4 km,1.7 km,1K／19m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / 居室照明器具 / バルコニー / 収納 / エアコン,インターネット対応
Moscato Bianco,https://unilife.co.jp/view/11605,5.45万円 ～ 5.95万円,岡山県岡山市北区学南町3丁目9-25,ＪＲ津山線「法界院」駅 徒歩2分,2.5 km,2.6 km,1K／30.71m²／10帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ(2口) / IHコンロ / バルコニー / フローリング / シューズケース / 収納 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,BSアンテナ / CATV / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
須々木第2ビル,https://unilife.co.jp/view/1188,4.5万円 ～ 5.2万円,岡山県岡山市北区学南町3丁目12-26,"岡電バス「法界院駅前」停徒歩
ＪＲ津山線「法界院」駅 徒歩1分",2.6 km,2.7 km,1K／24.1m²～24.8m²／8帖～9.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / 家電付(一部) / フローリング / バルコニー / 収納 / インターフォン / エアコン,CATV / インターネット対応 / オートロック / 駐輪場(原付可)
ポエニクスK,https://unilife.co.jp/view/1262,4.4万円 ～ 4.7万円,岡山県岡山市北区南方4丁目6-30,"岡電バス「スポーツセンター前」停徒歩5分
ＪＲ津山線「法界院」駅 徒歩14分",1.5 km,2.6 km,1K／21.87m²／7.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(2口) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,BSアンテナ / インターネット対応（無料） / 駐車場(任意) / 駐輪場（大型バイク可）
Grand E’terna 岡山Ⅱ,https://unilife.co.jp/view/1520,"4.95万円 ～ 5.8万円
（13Fトリプレットタイプ：5.9万円～6.45万円）",岡山県岡山市北区富町2丁目2-1,"岡電バス 「昭和町」停から徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩8分",650 m,2.8 km,1K～1LDK／27.07m²～32.14m²／6.3帖～14.6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室スチームサウナ / 浴室テレビ / 浴室音響システム / 温水洗浄便座 / RHコンロ(2口) / システムキッチン / バルコニー / フローリング / 収納 / シューズケース / 暗証番号式キー / エアコン,BSアンテナ / CSアンテナ / インターネット対応 / オートロック / 防犯カメラ / 防犯カメラシステム / 宅配BOX / 浄水器設置(共用) / 駐輪場(原付可) / 駐車場(任意)
ルラシオン岡山奉還町,https://unilife.co.jp/view/10141,"4.7万円 ～ 5.65万円
（9F西側1Kロフトタイプ：5.7万円～5.8万円）",岡山県岡山市北区奉還町1丁目10-21,"岡電バス「済生会病院前」停徒歩1分
ＪＲ山陽本線「岡山」駅 徒歩5分",500 m,2.8 km,1R～1K／25.55m²／8帖～10帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / RHコンロ(2口) / 家具家電付(一部) / 家電付(一部) / 玄関センサー感知ライト / 居室照明器具 / バルコニー / フローリング / シューズケース / 吊棚 / 収納 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン / オール電化(ガス無し),BSアンテナ / CSアンテナ / UniLife-net光(UCOM光) Wi-Fi対応 / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ / エレベーター / 自動販売機 / 宅配BOX / 駐車場(任意) / 駐輪場(原付可)
アレグリア カーサ,https://unilife.co.jp/view/1505,4.75万円 ～ 5.5万円,岡山県岡山市北区奉還町2丁目4-4,ＪＲ山陽本線「岡山」駅 徒歩4分,300 m,2.8 km,1K／29.1m²／11.2帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IH+RHコンロ(2口) / 家具家電付(一部) / 居室照明器具 / フローリング / バルコニー / 収納 / エアコン,CATV / インターネット対応 / オートロック / 防犯カメラ / 防犯カメラシステム / 浄水器設置(共用) / 宅配BOX / 駐輪場(原付可)
ルルード中井町,https://unilife.co.jp/view/1492,4.9万円 ～ 5.65万円,岡山県岡山市北区中井町1丁目4-10,"岡電バス「御野校前」停 徒歩1分
ＪＲ津山線「法界院」駅 徒歩6分",2.3 km,2.8 km,1R／29.25m²／12.5帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(2口) / 玄関センサー感知ライト / 居室照明器具 / バルコニー / 吊棚 / 収納 / シューズケース / インターフォン（TVモニター付) / 暗証番号式キー / エアコン,BSアンテナ / CSアンテナ / インターネット対応 / オートロック / 防犯カメラ / 宅配BOX / 浄水器設置(共用) / 駐車場(任意) / 駐輪場(原付可)
